mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin
18,4,307,130,3504,12,0,0
15,4,350,165,3693,11.5,0,0
18,4,318,150,3436,11,0,0
16,4,304,150,3433,12,0,0
17,4,302,140,3449,10.5,0,0
15,4,429,198,4341,10,0,0
14,4,454,220,4354,9,0,0
14,4,440,215,4312,8.5,0,0
14,4,455,225,4425,10,0,0
15,4,390,190,3850,8.5,0,0
15,4,383,170,3563,10,0,0
14,4,340,160,3609,8,0,0
15,4,400,150,3761,9.5,0,0
14,4,455,225,3086,10,0,0
24,1,113,95,2372,15,0,2
22,3,198,95,2833,15.5,0,0
18,3,199,97,2774,15.5,0,0
21,3,200,85,2587,16,0,0
27,1,97,88,2130,14.5,0,2
26,1,97,46,1835,20.5,0,1
25,1,110,87,2672,17.5,0,1
24,1,107,90,2430,14.5,0,1
25,1,104,95,2375,17.5,0,1
26,1,121,113,2234,12.5,0,1
21,3,199,90,2648,15,0,0
10,4,360,215,4615,14,0,0
10,4,307,200,4376,15,0,0
11,4,318,210,4382,13.5,0,0
9,4,304,193,4732,18.5,0,0
27,1,97,88,2130,14.5,1,2
28,1,140,90,2264,15.5,1,0
25,1,113,95,2228,14,1,2
19,3,232,100,2634,13,1,0
16,3,225,105,3439,15.5,1,0
17,3,250,100,3329,15.5,1,0
19,3,250,88,3302,15.5,1,0
18,3,232,100,3288,15.5,1,0
14,4,350,165,4209,12,1,0
14,4,400,175,4464,11.5,1,0
14,4,351,153,4154,13.5,1,0
14,4,318,150,4096,13,1,0
12,4,383,180,4955,11.5,1,0
13,4,400,170,4746,12,1,0
13,4,400,175,5140,12,1,0
18,3,258,110,2962,13.5,1,0
22,1,140,72,2408,19,1,0
19,3,250,100,3282,15,1,0
18,3,250,88,3139,14.5,1,0
23,1,122,86,2220,14,1,0
28,1,116,90,2123,14,1,1
30,1,79,70,2074,19.5,1,1
30,1,88,76,2065,14.5,1,1
31,1,71,65,1773,19,1,2
35,1,72,69,1613,18,1,2
27,1,97,60,1834,19,1,1
26,1,91,70,1955,20.5,1,0
24,1,113,95,2278,15.5,2,2
25,1,97.5,80,2126,17,2,0
23,1,97,54,2254,23.5,2,1
20,1,140,90,2408,19.5,2,0
21,1,122,86,2226,16.5,2,0
13,4,350,165,4274,12,2,0
14,4,400,175,4385,12,2,0
15,4,318,150,4135,13.5,2,0
14,4,351,153,4129,13,2,0
17,4,304,150,3672,11.5,2,0
11,4,429,208,4633,11,2,0
13,4,350,155,4502,13.5,2,0
12,4,350,160,4456,13.5,2,0
13,4,400,190,4422,12.5,2,0
19,0,70,97,2330,13.5,2,2
15,4,304,150,3892,12.5,2,0
13,4,307,130,4098,14,2,0
13,4,302,140,4294,16,2,0
14,4,318,150,4077,14,2,0
18,1,121,112,2933,14.5,2,1
22,1,121,76,2511,18,2,1
21,1,120,87,2979,19.5,2,1
26,1,96,69,2189,18,2,1
22,1,122,86,2395,16,2,0
28,1,97,92,2288,17,2,2
23,1,120,97,2506,14.5,2,2
28,1,98,80,2164,15,2,0
27,1,97,88,2100,16.5,2,2
13,4,350,175,4100,13,3,0
14,4,304,150,3672,11.5,3,0
13,4,350,145,3988,13,3,0
14,4,302,137,4042,14.5,3,0
15,4,318,150,3777,12.5,3,0
12,4,429,198,4952,11.5,3,0
13,4,400,150,4464,12,3,0
13,4,351,158,4363,13,3,0
14,4,318,150,4237,14.5,3,0
13,4,440,215,4735,11,3,0
12,4,455,225,4951,11,3,0
13,4,360,175,3821,11,3,0
18,3,225,105,3121,16.5,3,0
16,3,250,100,3278,18,3,0
18,3,232,100,2945,16,3,0
18,3,250,88,3021,16.5,3,0
23,3,198,95,2904,16,3,0
26,1,97,46,1950,21,3,1
11,4,400,150,4997,14,3,0
12,4,400,167,4906,12.5,3,0
13,4,360,170,4654,13,3,0
12,4,350,180,4499,12.5,3,0
18,3,232,100,2789,15,3,0
20,1,97,88,2279,19,3,2
21,1,140,72,2401,19.5,3,0
22,1,108,94,2379,16.5,3,2
18,0,70,90,2124,13.5,3,2
19,1,122,85,2310,18.5,3,0
21,3,155,107,2472,14,3,0
26,1,98,90,2265,15.5,3,1
15,4,350,145,4082,13,3,0
16,4,400,230,4278,9.5,3,0
29,1,68,49,1867,19.5,3,1
24,1,116,75,2158,15.5,3,1
20,1,114,91,2582,14,3,1
19,1,121,112,2868,15.5,3,1
15,4,318,150,3399,11,3,0
24,1,121,110,2660,14,3,1
20,3,156,122,2807,13.5,3,2
11,4,350,180,3664,11,3,0
20,3,198,95,3102,16.5,4,0
19,3,232,100,2901,16,4,0
15,3,250,100,3336,17,4,0
31,1,79,67,1950,19,4,2
26,1,122,80,2451,16.5,4,0
32,1,71,65,1836,21,4,2
25,1,140,75,2542,17,4,0
16,3,250,100,3781,17,4,0
16,3,258,110,3632,18,4,0
18,3,225,105,3613,16.5,4,0
16,4,302,140,4141,14,4,0
13,4,350,150,4699,14.5,4,0
14,4,318,150,4457,13.5,4,0
14,4,302,140,4638,16,4,0
14,4,304,150,4257,15.5,4,0
29,1,98,83,2219,16.5,4,1
26,1,79,67,1963,15.5,4,1
26,1,97,78,2300,14.5,4,1
31,1,76,52,1649,16.5,4,2
32,1,83,61,2003,19,4,2
28,1,90,75,2125,14.5,4,0
24,1,90,75,2108,15.5,4,1
26,1,116,75,2246,14,4,1
24,1,120,97,2489,15,4,2
26,1,108,93,2391,15.5,4,2
31,1,79,67,2000,16,4,1
19,3,225,95,3264,16,5,0
18,3,250,105,3459,16,5,0
15,3,250,72,3432,21,5,0
15,3,250,72,3158,19.5,5,0
16,4,400,170,4668,11.5,5,0
15,4,350,145,4440,14,5,0
16,4,318,150,4498,14.5,5,0
14,4,351,148,4657,13.5,5,0
17,3,231,110,3907,21,5,0
16,3,250,105,3897,18.5,5,0
15,3,258,110,3730,19,5,0
18,3,225,95,3785,19,5,0
21,3,231,110,3039,15,5,0
20,4,262,110,3221,13.5,5,0
13,4,302,129,3169,12,5,0
29,1,97,75,2171,16,5,2
23,1,140,83,2639,17,5,0
20,3,232,100,2914,16,5,0
23,1,140,78,2592,18.5,5,0
24,1,134,96,2702,13.5,5,2
25,1,90,71,2223,16.5,5,1
24,1,119,97,2545,17,5,2
18,3,171,97,2984,14.5,5,0
29,1,90,70,1937,14,5,1
19,3,232,90,3211,17,5,0
23,1,115,95,2694,15,5,1
23,1,120,88,2957,17,5,1
22,1,121,98,2945,14.5,5,1
25,1,121,115,2671,13.5,5,1
33,1,91,53,1795,17.5,5,2
28,1,107,86,2464,15.5,6,1
25,1,116,81,2220,16.9,6,1
25,1,140,92,2572,14.9,6,0
26,1,98,79,2255,17.7,6,0
27,1,101,83,2202,15.3,6,1
17.5,4,305,140,4215,13,6,0
16,4,318,150,4190,13,6,0
15.5,4,304,120,3962,13.9,6,0
14.5,4,351,152,4215,12.8,6,0
22,3,225,100,3233,15.4,6,0
22,3,250,105,3353,14.5,6,0
24,3,200,81,3012,17.6,6,0
22.5,3,232,90,3085,17.6,6,0
29,1,85,52,2035,22.2,6,0
24.5,1,98,60,2164,22.1,6,0
29,1,90,70,1937,14.2,6,1
33,1,91,53,1795,17.4,6,2
20,3,225,100,3651,17.7,6,0
18,3,250,78,3574,21,6,0
18.5,3,250,110,3645,16.2,6,0
17.5,3,258,95,3193,17.8,6,0
29.5,1,97,71,1825,12.2,6,1
32,1,85,70,1990,17,6,2
28,1,97,75,2155,16.4,6,2
26.5,1,140,72,2565,13.6,6,0
20,1,130,102,3150,15.7,6,1
13,4,318,150,3940,13.2,6,0
19,1,120,88,3270,21.9,6,1
19,3,156,108,2930,15.5,6,2
16.5,3,168,120,3820,16.7,6,1
16.5,4,350,180,4380,12.1,6,0
13,4,350,145,4055,12,6,0
13,4,302,130,3870,15,6,0
13,4,318,150,3755,14,6,0
31.5,1,98,68,2045,18.5,7,2
30,1,111,80,2155,14.8,7,0
36,1,79,58,1825,18.6,7,1
25.5,1,122,96,2300,15.5,7,0
33.5,1,85,70,1945,16.8,7,2
17.5,4,305,145,3880,12.5,7,0
17,4,260,110,4060,19,7,0
15.5,4,318,145,4140,13.7,7,0
15,4,302,130,4295,14.9,7,0
17.5,3,250,110,3520,16.4,7,0
20.5,3,231,105,3425,16.9,7,0
19,3,225,100,3630,17.7,7,0
18.5,3,250,98,3525,19,7,0
16,4,400,180,4220,11.1,7,0
15.5,4,350,170,4165,11.4,7,0
15.5,4,400,190,4325,12.2,7,0
16,4,351,149,4335,14.5,7,0
29,1,97,78,1940,14.5,7,1
24.5,1,151,88,2740,16,7,0
26,1,97,75,2265,18.2,7,2
25.5,1,140,89,2755,15.8,7,0
30.5,1,98,63,2051,17,7,0
33.5,1,98,83,2075,15.9,7,0
30,1,97,67,1985,16.4,7,2
30.5,1,97,78,2190,14.1,7,1
22,3,146,97,2815,14.5,7,2
21.5,1,121,110,2600,12.8,7,1
21.5,0,80,110,2720,13.5,7,2
43.1,1,90,48,1985,21.5,8,1
36.1,1,98,66,1800,14.4,8,0
32.8,1,78,52,1985,19.4,8,2
39.4,1,85,70,2070,18.6,8,2
36.1,1,91,60,1800,16.4,8,2
19.9,4,260,110,3365,15.5,8,0
19.4,4,318,140,3735,13.2,8,0
20.2,4,302,139,3570,12.8,8,0
19.2,3,231,105,3535,19.2,8,0
20.5,3,200,95,3155,18.2,8,0
20.2,3,200,85,2965,15.8,8,0
25.1,1,140,88,2720,15.4,8,0
20.5,3,225,100,3430,17.2,8,0
19.4,3,232,90,3210,17.2,8,0
20.6,3,231,105,3380,15.8,8,0
20.8,3,200,85,3070,16.7,8,0
18.6,3,225,110,3620,18.7,8,0
18.1,3,258,120,3410,15.1,8,0
19.2,4,305,145,3425,13.2,8,0
17.7,3,231,165,3445,13.4,8,0
18.1,4,302,139,3205,11.2,8,0
17.5,4,318,140,4080,13.7,8,0
30,1,98,68,2155,16.5,8,0
27.5,1,134,95,2560,14.2,8,2
27.2,1,119,97,2300,14.7,8,2
30.9,1,105,75,2230,14.5,8,0
21.1,1,134,95,2515,14.8,8,2
23.2,1,156,105,2745,16.7,8,0
23.8,1,151,85,2855,17.6,8,0
23.9,1,119,97,2405,14.9,8,2
20.3,2,131,103,2830,15.9,8,1
17,3,163,125,3140,13.6,8,1
21.6,1,121,115,2795,15.7,8,1
16.2,3,163,133,3410,15.8,8,1
31.5,1,89,71,1990,14.9,8,1
29.5,1,98,68,2135,16.6,8,2
21.5,3,231,115,3245,15.4,9,0
19.8,3,200,85,2990,18.2,9,0
22.3,1,140,88,2890,17.3,9,0
20.2,3,232,90,3265,18.2,9,0
20.6,3,225,110,3360,16.6,9,0
17,4,305,130,3840,15.4,9,0
17.6,4,302,129,3725,13.4,9,0
16.5,4,351,138,3955,13.2,9,0
18.2,4,318,135,3830,15.2,9,0
16.9,4,350,155,4360,14.9,9,0
15.5,4,351,142,4054,14.3,9,0
19.2,4,267,125,3605,15,9,0
18.5,4,360,150,3940,13,9,0
31.9,1,89,71,1925,14,9,1
34.1,1,86,65,1975,15.2,9,2
35.7,1,98,80,1915,14.4,9,0
27.4,1,121,80,2670,15,9,0
25.4,2,183,77,3530,20.1,9,1
23,4,350,125,3900,17.4,9,0
27.2,1,141,71,3190,24.8,9,1
23.9,4,260,90,3420,22.2,9,0
34.2,1,105,70,2200,13.2,9,0
34.5,1,105,70,2150,14.9,9,0
31.8,1,85,65,2020,19.2,9,2
37.3,1,91,69,2130,14.7,9,1
28.4,1,151,90,2670,16,9,0
28.8,3,173,115,2595,11.3,9,0
26.8,3,173,115,2700,12.9,9,0
33.5,1,151,90,2556,13.2,9,0
41.5,1,98,76,2144,14.7,10,1
38.1,1,89,60,1968,18.8,10,2
32.1,1,98,70,2120,15.5,10,0
37.2,1,86,65,2019,16.4,10,2
28,1,151,90,2678,16.5,10,0
26.4,1,140,88,2870,18.1,10,0
24.3,1,151,90,3003,20.1,10,0
19.1,3,225,90,3381,18.7,10,0
34.3,1,97,78,2188,15.8,10,1
29.8,1,134,90,2711,15.5,10,2
31.3,1,120,75,2542,17.5,10,2
37,1,119,92,2434,15,10,2
32.2,1,108,75,2265,15.2,10,2
46.6,1,86,65,2110,17.9,10,2
27.9,1,156,105,2800,14.4,10,0
40.8,1,85,65,2110,19.2,10,2
44.3,1,90,48,2085,21.7,10,1
43.4,1,90,48,2335,23.7,10,1
36.4,2,121,67,2950,19.9,10,1
30,1,146,67,3250,21.8,10,1
44.6,1,91,67,1850,13.8,10,2
33.8,1,97,67,2145,18,10,2
29.8,1,89,62,1845,15.3,10,1
32.7,3,168,132,2910,11.4,10,2
23.7,0,70,100,2420,12.5,10,2
35,1,122,88,2500,15.1,10,1
32.4,1,107,72,2290,17,10,2
27.2,1,135,84,2490,15.7,11,0
26.6,1,151,84,2635,16.4,11,0
25.8,1,156,92,2620,14.4,11,0
23.5,3,173,110,2725,12.6,11,0
30,1,135,84,2385,12.9,11,0
39.1,1,79,58,1755,16.9,11,2
39,1,86,64,1875,16.4,11,0
35.1,1,81,60,1760,16.1,11,2
32.3,1,97,67,2065,17.8,11,2
37,1,85,65,1975,19.4,11,2
37.7,1,89,62,2050,17.3,11,2
34.1,1,91,68,1985,16,11,2
34.7,1,105,63,2215,14.9,11,0
34.4,1,98,65,2045,16.2,11,0
29.9,1,98,65,2380,20.7,11,0
33,1,105,74,2190,14.2,11,1
33.7,1,107,75,2210,14.4,11,2
32.4,1,108,75,2350,16.8,11,2
32.9,1,119,100,2615,14.8,11,2
31.6,1,120,74,2635,18.3,11,2
28.1,1,141,80,3230,20.4,11,1
30.7,3,145,76,3160,19.6,11,1
25.4,3,168,116,2900,12.6,11,2
24.2,3,146,120,2930,13.8,11,2
22.4,3,231,110,3415,15.8,11,0
26.6,4,350,105,3725,19,11,0
20.2,3,200,88,3060,17.1,11,0
17.6,3,225,85,3465,16.6,11,0
28,1,112,88,2605,19.6,12,0
27,1,112,88,2640,18.6,12,0
34,1,112,88,2395,18,12,0
31,1,112,85,2575,16.2,12,0
29,1,135,84,2525,16,12,0
27,1,151,90,2735,18,12,0
24,1,140,92,2865,16.4,12,0
36,1,105,74,1980,15.3,12,1
37,1,91,68,2025,18.2,12,2
31,1,91,68,1970,17.6,12,2
38,1,105,63,2125,14.7,12,0
36,1,98,70,2125,17.3,12,0
36,1,120,88,2160,14.5,12,2
36,1,107,75,2205,14.5,12,2
34,1,108,70,2245,16.9,12,2
38,1,91,67,1965,15,12,2
32,1,91,67,1965,15.7,12,2
38,1,91,67,1995,16.2,12,2
25,3,181,110,2945,16.4,12,0
38,3,262,85,3015,17,12,0
26,1,156,92,2585,14.5,12,0
22,3,232,112,2835,14.7,12,0
32,1,144,96,2665,13.9,12,2
36,1,135,84,2370,13,12,0
27,1,151,90,2950,17.3,12,0
27,1,140,86,2790,15.6,12,0
44,1,97,52,2130,24.6,12,1
32,1,135,84,2295,11.6,12,0
28,1,120,79,2625,18.6,12,0
31,1,119,82,2720,19.4,12,0